text;likes;words_amount;unique_word_count;char_count;sentiment
*Embora o Brasil foi eliminado, foi uma competição sensacional, parabéns a Líbia* ;425;12;11;82;Very Negative
Just realised the pope would be in this video;1;9;9;45;Neutral
It's really interesting seeing all the countries you were able to bring together.  I'm glad this was able to happen, and congrats for organizing and executing this flawlessly.;918;30;26;175;Very Positive
Gw bangga walau Indonesia ga meneng tapi gw bangga karena udah berusaha dan masuk ke dalam tantangan di Amerika gw bangga terimakasih karena sudah berusaha ;268;25;19;156;Very Negative
Indonesia di segani juga karena potensinya,, i love Indonesia ;244;9;8;62;Very Positive
"Tropa do Brasil 
";1;3;3;17;Very Positive
Skill orang perwakilan Indonesia ditakuti oleh kebanyakan peserta di sana  (stage Panah), Aku bangga menjadi warga Indonesia ;261;17;16;125;Very Negative
It always amazes me how jimmy never disappoints with these videos. The quality gets even better with each episode.;786;19;18;114;Very Positive
الف مبروك للشعب الليبي ;100;4;4;23;Very Positive
Proud that an Arab person is the winner ;1;8;8;40;Very Positive
Samoa truly did their people proud. I’m sad they didn’t win but happy they got as far as he did. Congrats!!;504;23;20;107;Very Positive
17:32 the dedication in his eyes ;411;7;7;33;Very Positive
As a Slovenian im very proud Thank you Jimmy for the challenge;59;12;12;62;Very Positive
Estás olimpiadas estuvieron super, saludos desde Bolivia;0;7;7;56;Very Positive
Indonesia kalah voting saja ,kelihatan banyak peserta negara lain pada takut ,bangga sama yang mewakili negaraku . Thanks Mr.beast;530;19;19;130;Very Negative
the amount of effort jimmy puts into these videos is immaculate;968;11;11;63;Very Positive
مليون مبروك ليبيا على الفوز تحياتي لكم من العراق ;62;9;9;49;Very Negative
الف الف الف الف مبروك لشعب الليبي رفعتو روسنا اخوكم من اليمن;0;12;9;60;Very Negative
This is insane. Mr. Beast could do this every year by increasing the winning pot and making it more fun to watch.;684;22;21;113;Very Negative
Great vid as always Jimmy! Love all of your content and ZTA400X, keep it up much love.;3489;17;16;86;Very Positive
The dedication ZTA400X and jimmy does this is insane. He is one of the biggest youtubers on this planet.;2493;19;16;104;Very Positive
