text;likes;words_amount;unique_word_count;char_count;sentiment
I did not expect that ending, subscribe to be in a video!;286953;12;12;57;Very Negative
This is insanity, never done before in the history of this platform. Hats off to you Jimmy!;146851;17;16;91;Very Negative
Gua sebagai warga Indonesia, gua bangga karena perwakilan Indonesia dan sudah berusaha semaksimal mungkin. Makasih Mr. Beast sudah mengundang perwakilan Indonesia.;7187;21;16;163;Very Negative
ألف مبروك للشعب الليبي شرفتوا العرب تحية لإخواننا الليبيين ;116;9;9;59;Very Negative
"""You can walk away with $10,000 or keep playing"" 
Monaco: Lol, my lunch costs more than that.";17316;18;18;93;Very Negative
He made the Olympics entertaining;5954;5;5;33;Positive
I’d watch this over the Olympics any day.;15214;9;9;41;Very Positive
"Türkler burdamı
English:Turks are here";101;6;6;38;Very Negative
Indonesia was too OP, he even almost made it on the archery games after being nerfed by 12 countries . Regardless, this content is a masterpiece! ;1016;25;25;146;Neutral
This man is literally born to make History. Hats off to Jimmy and the crew.;498;15;14;75;Very Positive
Way to bring the world together with friendly competition. Love it.;1321;11;11;67;Very Positive
The fencing match between Moldova and me was epic! The way they were backing each other across the platform built so much tension. You could tell how much making it to the next round meant to both of them. my reactions after winning strike said it all;987;47;41;251;Very Positive
مبروك لليبيا الفوز اقسم بالله تستاهلون جنتوا تنتظرون فرحة ولو صغيرة الف مبروك  مبروك للولد العراق صراحة نفنخر بي وصل لهل المرحلة احنا فخورين بي ;99;25;22;144;Very Negative
This man perfectly knows how to seek the audience attention;3623;10;10;59;Very Positive
تحياتي لشعب ليبيا    الأبطال من اليمن  ;3;6;6;39;Very Positive
Yall need to do this every year! Had me on the edge of my seat rooting for countries I've never even heard of!;1652;24;23;110;Very Positive
imagine football world cup with 150+ counties;470;7;7;45;Very Positive
العرب بدعووو فازت ليبيا وتأهلت العراق والبنت الوحيدة الي تأهلت لمرحلة الأسهم هي سعودية والله العرب مكسرين الساحة في التحدي;27;20;19;122;Very Negative
الف مبروك للشاب الليبي ولكل الليبين …والله إنه شرف كبير لنا نسأل الله ان يبارك له في صحته وماله وزوجته وكل أهله …;886;22;22;113;Very Positive
This guy is single handedly setting the bar for content creation to such a level that it's insanely impossible to rival it.;3298;23;21;123;Very Negative
الف مبروك للشعب الليبي ويستاهل الفوز ..تحياتنا لكم من اليمن ياشعب ليبيا;194;12;12;71;Very Positive
Azerbaycan kardeşim burdayim;5;3;3;28;Very Positive
الف مبروك للشعب اللي مشرفت العرب تحيه لاخواتنا الليبيين بس لا تنسوا العراق وانهم شرفونا ايضا رمضان كريم;11;18;18;103;Very Positive
This guy unites the world better than every politician on planet earth combined.;3043;13;13;80;Very Positive
1:29 Sudan in the back im Sudanese btw;1;9;9;38;Very Negative
Seeing the love that people have for their own nations is simply beautiful, love your homeland!;2315;16;15;95;Very Positive
as a moldovan this is definitely the highest amount of patriotism i’ve experienced in my life;3372;17;17;93;Very Positive
Нашу рашку так и не показали . Скиньте хоть тайм код где она была пожалуйста ;13;14;14;77;Very Negative
تحياتي للشعب الليبي الشقيق من الجزائر  الف مبروك ;420;8;8;49;Very Positive
"Idrk why but the ""bro what the"" ( 7:57-8:00 ) made me laugh so much ";1;16;15;68;Negative
"مبروك ل ليبيا تحية من العراق  

Congratulations ,Libya ";178;8;8;55;Very Negative
the amount of effort building the sets and inviting people from quite literally all around the world is insane here. Props to Jimmy and his team, keep it up!;1046;29;26;157;Very Negative
Loved seeing the support, respect, and brotherly love after they eliminated each other.;912;13;13;87;Very Positive
Why did Samoa do that  10:41;3;7;7;28;Very Negative
Actually bringing the world together, and the competitors were all chill and just happy to be there. So glad to see this friendly competitopn!;593;24;21;142;Very Positive
Helping the world to get together is the most inspiring thing you have done Jimmy. :);530;15;14;85;Very Positive
Um comentário do Brasil Deus abençoe sempre sua vida e sua família que Deus continue abençoando sua vida sempre amém?;2;20;15;117;Very Positive
The fencing match between Moldova and me was epic! The way they were backing each other across the platform built so much tension. You could tell how much making it to the next round meant to both of them. my reactions after winning strike said it all! Thank you Jimmy;1156;50;43;268;Very Positive
8:56 I'm very sad for Indonesia, but the most important thing is that you have tried, we are very proud of you, Indonesia ;1814;25;22;122;Positive
Ülkesini görünce gururlanan bir tek ben miyim ülkem kaybetsede onunla gurur duyuyorum;978;12;12;85;Very Negative
6:18 bloody Latvia voting for Estonia ;0;7;7;38;Very Negative
It would be awesome if Mr. Beast could make this an annual or biannual event. Awesome as always. I'll be proud to represent Nigeria.;371;25;23;132;Very Positive
فرحت بجد لما فاز الشاب الليبي جارنا تحياتي من مصر ;273;10;10;50;Very Negative
The dude from Samoa was an absolute beast, he straight up intimidated his opponent into losing the fencing duel;311;19;18;111;Very Negative
How much love you Jammy and all mrbeast team ;0;9;9;45;Very Positive
Bro we need more of these olympics ;3707;7;7;35;Very Positive
The amount of effort building the sets and inviting people from qouite literally all around the world is insane here. Props to Jimmy and his team, keep it up!;1002;29;26;158;Very Negative
حظ اوفر للعراق وماقصرت قدمت افضل مالديك ، والف الف مبروك للشعب اليبي الشقيق ع الفوز ;215;15;15;84;Very Positive
Ga peduli menang kalah.. THANK YOU FOR THE STRUGGLE!! I luv you all ;0;13;12;68;Very Negative
Mr Beast is the definition of quality over quantity.;2432;9;9;52;Very Positive
The effort this guy do to make content is actually insane!!;1364;11;11;59;Very Negative
The way Jimmy brings the entire world, ignoring current events, all into one, epic competition is absolutely insane, and creates one of his best videos thus far. Jimmy truly never disappoints.;797;31;28;192;Very Positive
4:46 I just love Karl’s laugh ;1;8;8;30;Very Positive
Seeing Indonesia eliminated was heartbreaking. He felt way ahead of the competition;230;12;12;83;Very Positive
"الف مبرووك لشعب ليبيا و لكل العرب 
و عقبال الانتصارات بالمحافل الدولية الرياضية و العلمية و الفنية
اخوكم من سوريا";114;20;17;113;Very Positive
Este video lo vi en Facebook me encantó muy bueno ;1;10;10;50;Very Positive
"Though Italy and Fiji were smarter to walk away with $10k.
But LIBYA was definitely confident and determined of being the champion!";516;22;21;131;Positive
This was the best way for countries to be united in... Kudos to you, Jimmy!;707;15;14;75;Very Positive
4:45 ;0;2;2;5;Positive
This was AWESOME!;970;3;3;17;Very Positive
Gua sebagai warga Indonesia bangga karna menjadi PERWAKILAN dari Indonesia. Terimakasih Mr.beast sudah mengundang perwakilan indonesia ;635;17;14;135;Very Negative
Mr. Beast is so such a good person. EGORIC!!!!;554;9;9;46;Very Positive
Britain did me dirty-;1;4;4;21;Very Negative
Mr beast, necesitamos que esta joya se haga una tradición, hay que repetirlo cada cierto tiempo así como un mundial, los juegos olímpicos etc.¿Que piensan los demás?;670;28;25;165;Very Positive
Indonesia terlalu  OP sih jadi banyak yg ngevote  terimakasih Mr.Beast  sudah mengundang Indonesia utk berpartisipasi. Sangat menghibur ;653;18;17;136;Very Negative
this is enough to be an entire tv show!! would have loved for it to be longer and get invested even more;474;22;20;104;Very Positive
Bravo au monégasque je ne pensais pas être représenté si longtemps !!!!! ;1;11;11;73;Very Positive
this man is literally born to make history;939;8;8;42;Very Positive
Even though Indonesia didn't bring the gold, I'm still proud of you Indonesia ;79;15;14;78;Very Positive
الف مبروك للشعب اليبي ;363;4;4;22;Very Positive
"I'm from Egypt 
انا من مصر ";2;7;7;27;Very Negative
Esto debería de ser un evento anual de ahora en adelante ya que sinceramente se vio más interesante que las olimpiadas;537;21;19;118;Neutral
Aku sebagai warga indonesia ingin berterima kasih untuk indonesia yang berjuang;317;11;10;79;Very Positive
Honestly loved how all the Pacific Island guys celebrated making it in the first event and seeing Samoa make it so far to the end, great stuff.;448;27;24;143;Very Positive
Bu mrbeast adamın kralı ;0;4;4;24;Very Positive
Indonesia deserved the W, they sabotaged him because he was too good ;387;12;12;69;Very Negative
Saya sangat bangga dengan Indonesia kerena menjadi peserta yang unggul;113;10;10;70;Neutral
As a filipino, Indonsia really deserved the dub skill wise;1897;10;10;58;Very Positive
The amount of dedication Jimmy has to this fanbase is insane;2199;11;11;60;Very Negative
