text;likes;words_amount;unique_word_count;char_count;sentiment
Here are my Shopify stores https://shopmrbeast.com/shop and https://feastables.com Comment yours below! (Also buy the new merch to get the secret video);90158;26;23;152;Very Positive
I cannot believe you actually pulled this off - this is LEGENDARY;152172;11;10;65;Very Positive
this is insanely epic...as we expected ;243214;7;7;39;Very Positive
This man is literally born to make History. Hats of to Jimmy and the crew.;38709;15;14;74;Very Positive
The 999,999,999 subscriber and the 100,000,001 subscriber:;122;11;7;58;Very Negative
RED DIAMOND PLAY BUTTON  Congrats Jimmy!!!;14452;6;6;42;Very Positive
Congratulations on a well deserved 100m and many more!;12580;9;9;54;Very Positive
I love how he says “our play button” knowing he wouldn’t be where he is without his friends. Huge congratulations man you deserve it!;5040;25;23;133;Very Positive
Trop aimable tes vidéo espérons que un jour je pourrais faire partie de tes vidéo et gagner ;22;17;15;92;Very Positive
Green light guy 1st winner was an absolute chad!;717;9;9;48;Very Positive
People often forget the Jimmy came from humble beginnings. But look where he is now, great amount of dedication and hard work. Hats off Jimmy;3143;25;24;141;Very Positive
Thank you Mr.Beast , couldn’t be more grateful for this life changing opportunity. Even though I couldn’t win the island, I’m incredibly happy for living this experience!;2403;30;25;170;Very Positive
Thank you very much for releasing this video;12;8;8;44;Very Positive
Your content has always been so wholesome and motivating at the same time, thank you MrBeast and crew.;853;18;17;102;Very Positive
MrBeast is truly on another level. Congratulations ;22469;7;7;51;Very Positive
"Honestly if I ever had the chance to participate in one of these I wouldn't care if I lost. It just seems so fun. 
Congrats Jimmy on 100m! ";3082;29;26;139;Very Positive
I love watching your content bro;3;6;6;32;Very Positive
Been subbed since 200k! Congrats jimmy on 100m. Now you just have to beat T series;4805;16;16;82;Very Negative
Man, Mr. Beast this is good stuff!;4582;7;7;34;Very Positive
The amount of people he has helped in a decade, congrats MrBeast you definitely deserved it!;1315;16;16;92;Very Positive
literally BFDI irl:;2;3;3;19;Very Negative
That red light green light guy was insane. Kinda sad he didn't win the island. was rooting for him ;848;20;18;99;Negative
The dude who passed that red line on a technicality had a evil villain genius IQ. Well played, sir!;6192;19;18;99;Very Positive
One of the few people I can say that deserves everything he has. Congrats, MrBeast!;747;15;15;83;Very Positive
MrBeast's 99,999,999 subscriber:;7;6;5;32;Very Negative
You’re the best YouTuber who will ever exist. It’s a pleasure to know you and watch your content ;6685;20;19;97;Very Positive
"Out of every creator on the platform, you deserved it the most!
Glad to see that fame has only motivated you to keep on giving to those around you! Truly inspirational.";1061;31;25;168;Very Positive
I think this is the best MrBeast video ever;8;9;9;43;Very Positive
Absolute fkn legend! Congrats to you and the team;2978;9;9;49;Very Positive
Chandler played a huge role in this massive success. I remember once I only used to see mrbeast videos just to see and hope chandler wins a challenge (which he never did until the island);919;35;30;187;Very Positive
Wholesome Ending  love you jimmy and team, so happy for your success ;219;12;12;69;Very Positive
Mrbeasts first subscriber:;2;3;3;26;Very Positive
I can't believe he has grown this much, its truly astonishing. He definitely deserves it more than anyone.;1234;19;18;106;Very Positive
"The fact that Chandler would be sweeping someone's floor to becoming a celebrity so many people in this  world know about is just so overwhelming for me.

Life is unpredictable. 

Thanks for giving such a good life ordinary common people around you Jimmy ,you have taught me that how much you have, doesn't matters you should always share cause those blessings will be a million times more valuable.";2261;70;56;399;Very Negative
Courage à toi ;1;3;3;14;Very Positive
There will never be enough appreciation for the actions that Jimmy has taken. Such a good guy.;908;17;17;94;Very Positive
That guy who got first place at the red light green light deserved an island of his own just for the mega brain play he did;2561;26;24;123;Very Negative
What a great experience! I was 39.7mil and when I tell you everything you see is exactly how it plays out is true. Such an amazing experience and I’m so happy I was able to be apart of it!;858;41;32;188;Very Positive
Mrbeast  3:33;4;3;3;13;Very Positive
This man is a legend. Seriously he will go down in history.;574;12;12;59;Very Positive
I loved the fact that all the finalist wanted to continue and didn't give up! Also, that 100M button is beautiful. Totally deserved, thank you for all the laughs, crazy challenges and fun! Keep it up and I hope someday I can appear on one of these great videos for the fun of it!;1203;55;41;279;Very Positive
Watching Jimmy open the play button was honestly so well deserved. Almost brought me to tears.;716;16;16;94;Very Positive
"Bro said"" this is ur first time opening our 100 million subscriber play button"" But it already has a ton of fingerprints on it";1;24;23;126;Very Negative
the guy who ran when jimmy was explaining that there was no time limit in red light green light is the genius;5984;22;19;109;Very Positive
You deserve it man! Happy for you Jimmy! :) Keep making amazing content!;356;12;11;72;Very Positive
Congrats to the whole team on this milestone. Really shows Jimmy’s mentality, saying “our” play button;1186;17;17;102;Very Positive
Yeah it was sooo epic!;4;5;5;22;Very Positive
So proud of jimmy for achieving something almost no has. He has provided me with entertainment for many years and I can’t think of anyone who deserves it more.;428;30;27;159;Very Positive
You definitely deserve this achievement jimmy, you're such a good person.;339;12;11;73;Very Positive
I can’t wait to see what you giveaway at 200M!;355;11;11;46;Very Positive
And now you have 335m subs;6;6;6;26;Very Positive
The amount of people he has helped in a decade. Congrats Jimmy, you totally deserve this success;1052;17;17;96;Very Positive
You guys are absolutely awesome!;336;5;5;32;Very Positive
I’ve been watching this channel for years and years, I’m so proud of how far he’s gotten. It’s crazy how fast he’s growing and all the things he’s doing for his fans, Congratulations jimmy!;503;40;30;189;Very Positive
The chances of entering this were literally 1 in a million.;1;11;11;59;Very Negative
I am shocked that they all passed on the 50k. Wow!;659;11;11;50;Very Positive
"This man and his crew deserve everything they have earned.

Congrats!";459;11;11;69;Very Positive
You deserve much more  (Can I have a private Island now?);2418;11;11;57;Very Positive
0:31 I am at ;10;5;5;13;Very Negative
Congrats - What an amazing acomplishment!;380;5;5;41;Very Positive
I can't wait to tell my grandkids this was the greatest youtuber of my time.;7734;16;15;76;Very Positive
This video made me cry;1;5;5;22;Very Positive
3:15 that was actually smart of the dude;672;9;9;40;Neutral
He’s really gonna have a lot of stories to tell his grandkids;2614;13;13;61;Positive
What a legend, giving everything back to the people who made you famous, you are doing gods work bro;234;19;18;100;Very Positive
9:47 ;1;2;2;5;Very Positive
He's really gonna have a lot of stories to tell his grandkids.;3560;13;13;62;Positive
