text;likes;words_amount;unique_word_count;char_count;sentiment
Mr beast deserves everything;240;4;4;28;Very Positive
MrBeast definitely deserved it! He's done so much for us ;399;11;11;57;Very Positive
If I was there, I'd say yes to the money... Cause I'm Filipino, 5,000 is a lot in the Philippines.;1;23;20;98;Very Negative
Jimmy is an absolute blessing to so many… literally just found him — so amazing;307;14;13;79;Very Positive
MrBeast is a legend;446;4;4;19;Very Positive
It's so sweet how Jimmy always feels so bad for the losers and gets upset when they threw the money away;951;22;20;104;Very Positive
This is insanely epic....as we expected ;1;7;7;40;Very Positive
"Chris must be so proud that he's the first subscriber of a legendary Youtuber! 
Congrats on a well deserved 100M!";115;21;20;113;Very Positive
Jimmy is someone who deserved to hit this milestone for such a long time, as he is an inspiration to so many. We all are thankful for all the hard work you do, the entertainment you provide, and more. Congratulations!;257;40;34;217;Very Positive
big fan boss i am from Bangladesh;2;7;7;33;Very Positive
Congratulations Mr Beast! It’s been quite the ride… I honestly can’t remember when I started watching your videos. Can’t wait to see what else you will do!;446;30;27;155;Very Positive
This guy litterally is the definition of hard work pays off;301;11;11;59;Very Negative
Hes so experimental with his videos . Its amazing how he gives back to the people that struggle to get by . Good on you MrBeast .;406;24;23;129;Very Positive
99,999,999th and 100,000,001th pereon screaming rn;1;10;10;50;Very Negative
The plank scene had me on edge ;1676;7;7;31;Neutral
Congrats!;221;1;1;9;Very Positive
Can we just talk about how that contestant had a gut feeling she’d win the island and did in fact end up winning it;1133;25;25;115;Neutral
Next challenge: 1 billionth subscriber wins 10 islands;0;8;8;54;Very Positive
Congratulations Jimmy and the guys. You guys certainly deserve this thanks for always bringing a smile to so many people around the world.;109;23;21;138;Very Positive
Jimmy deserves this more than anyone else. His genuine care and dedication is unmatched. Congratulations!!;632;15;15;106;Very Positive
Mr Beast this was crazy man, Congrats ;746;7;7;38;Very Positive
Take love bro;6;3;3;13;Very Positive
i want an island pls;1258;5;5;20;Neutral
7:55 rip carrot;210;4;4;15;Very Negative
Congrats on 100M Jimmy!! You really deserve it!! For the people  you have helped in the past and now, you defo  deserve it!!;207;23;18;124;Very Positive
10:21  nolan;0;3;3;12;Very Negative
Man you are really a legendary personality , It would be good If I was able to join your games !;151;19;19;96;Very Positive
Jimmy will have a lot of stories to tell his grandkids. Your a fkn legend keep it up;745;18;17;84;Very Positive
3:20 smart AF;548;4;4;13;Very Positive
The first subscriber;5;3;3;20;Very Positive
The greatest YouTuber to have ever lived! Hugely deserved! ;443;9;9;59;Very Positive
Congratulations to the winners!;106;4;4;31;Very Positive
These sets are absolutely incredible, it's insane how far jimmy has come;448;13;13;72;Very Positive
